"epoch","mse","A1_norm","A1_rank","A1_cond","A2_norm","A2_rank","A2_cond","W1_norm","W1_rank","W1_cond","W1_mean_chnage","W1_min_chnage","W1_max_chnage","W2_norm","W2_rank","W2_cond","W2_mean_chnage","W2_min_chnage","W2_max_chnage","strong_sat","soft_sat","linear_region"
0,1533.51506165919,NA,NA,NA,NA,NA,NA,2.51162679926722,2,1.97288693240416,NA,NA,NA,1.73716995800673,1,1,NA,NA,NA,0.00841666666666667,0.0358214285714286,0.106440476190476
1,1505.8064773448,3.21122214335544,2,2.59980352044328,3.813692657568,2,359934241533734080,1.99323326818037,2,12169.0903841472,0.105024971670982,1.93693771670795e-05,2.37735067284694,348.652753438019,1,1,22.4474255771994,2.30682269766919,101.129732352752,0,0,0
2,1503.77691300475,3.29929752374351,2,2.70975815444255,3.81380630480347,1,339057744463364992,1.99329115046193,2,30782.7219531672,7.22151688136237e-06,2.96315312939827e-06,1.87389941136479e-05,356.566013018286,1,1,1.08020878192252,0.27334393329409,1.93391913127575,0,0,0
3,1504.07730047169,3.20878960163647,2,2.59155861918902,3.8138261435194,1,786777941157736448,1.99330472710397,2,47313.7469154215,1.62399933834281e-06,8.34694168209507e-07,3.16142122002836e-06,358.821211472422,1,1,0.725648505723889,0.142040421262667,1.96013096838336,0,0,0
4,1502.34252742953,3.13471411977054,2,2.5082832662685,3.81383812078679,1,523195857392589120,1.9933090178328,2,65281.5078095577,6.87040239668395e-07,3.47048635087159e-07,1.0135539307841e-06,359.893691920043,1,1,0.659342395237235,0.0963731718001087,2.17179679911258,0,0,0
5,1502.40982446005,3.08254905557994,2,2.53093844326703,3.81384351653777,1,2551974566481016320,1.99331111264921,2,85056.1024968644,4.074720578043e-07,1.39026592427326e-07,8.06362678350768e-07,360.566939192135,1,1,0.732598207474636,0.166548041685195,1.4954670218488,0,0,0
6,1502.22952210648,3.13700826850303,2,2.50944098649157,3.81384232499614,1,269140442180089344,1.9933122667398,2,103449.405049585,2.43152917109091e-07,7.80866966391335e-08,4.30503117669788e-07,360.95609724514,1,1,0.563531472276416,0.0105806429833532,2.03897821707392,0,0,0
7,1525.41911689386,3.46441805985264,2,2.80092599563026,3.81384430766026,1,457055680520012416,1.9933130534473,2,121457.578698492,1.60572449686381e-07,5.29301131708626e-08,4.1178243806258e-07,361.26586324154,1,1,0.503757921044299,0.0277404742694876,1.35644015005615,0,0,0
8,1504.3057353244,3.289044846063,2,2.64809309958834,3.81384539966306,1,1890384958260803840,1.99331364925667,2,136724.780372238,1.13402992447563e-07,3.01342661553592e-08,2.06530658159585e-07,361.436209685874,1,1,0.503038010458533,0.0507904834879565,2.03750186937993,0,0,0
9,1507.68731816722,3.2524562416183,2,2.6555200351657,3.81384589055408,1,2595341635397794304,1.9933140970849,2,152752.961131405,9.1024288947202e-08,2.69097362720377e-08,2.03055546753762e-07,361.628746123221,1,1,0.466417151880011,0.0272294329951507,1.22386173492651,0,0,0
10,1507.15957798868,3.3101795997807,2,2.78925611143381,3.81384558035845,1,28441835677446635520,1.99331438629634,2,167921.2762081,6.66575088991559e-08,1.36740603442095e-08,1.4417681228887e-07,361.763376091758,1,1,0.628016329190928,0.138387938965506,1.57847485488757,0,0,0
11,1504.4039905012,3.2913034532719,2,2.71872549885391,3.81384925056467,1,8055405773567539200,1.99331475370695,2,184330.015748283,6.57323364907447e-08,1.19892812131695e-08,1.91343640435421e-07,361.851850776573,1,1,0.525844198883651,0.0656244630588664,1.28716582379439,0,0,0
12,1502.30535158553,3.2153835090652,2,2.57536544259402,3.81384816844149,1,14060053768308547584,1.99331494466596,2,198644.68614118,5.25213276388666e-08,3.3755379568272e-10,1.0912551682918e-07,361.954999446727,1,1,0.572568109222495,0.032384595813588,1.35057695215118,0,0,0
13,1503.29577780793,3.27508950722326,2,2.67820765714649,3.81384951682756,1,3.6349420746717e+19,1.99331514461446,2,217447.527122383,5.10812646797163e-08,1.12261145937324e-08,8.98838422511857e-08,362.042439093431,1,1,0.637738742697516,0.00798391707110083,1.99271432568499,0,0,0
14,1502.22144468769,3.23880651718922,2,2.57244007803306,3.81384926455835,1,175770143364224672,1.99331530992551,2,233312.295032609,3.87630449969933e-08,4.43563728415463e-09,7.90964093076246e-08,362.110730476851,1,1,0.547307244383766,0.0440210206840728,1.566022148001,0,0,0
15,1503.25877510687,3.30926576837342,2,2.79082940729258,3.81384829708393,1,48560218075246796800,1.99331546492425,2,250029.601495186,3.42827417202104e-08,3.6395213587317e-09,9.64008484315332e-08,362.160064259442,1,1,0.654672385924971,0.0687320671401837,2.03741909594691,0,0,0
16,1509.14198508114,3.05284957258927,2,2.40805125265144,3.81384984056608,1,878687695655496064,1.99331558786819,2,264333.138139463,2.95845027315027e-08,8.2185184605815e-09,8.14035531129616e-08,362.22153685693,1,1,0.631992457238266,0.0109698661689963,1.86354819729231,0,0,0
17,1504.85397729081,3.0842903133183,2,2.46302984668206,3.81384978981184,1,364727685054404288,1.99331572605911,2,277934.525977091,2.83560100727157e-08,8.53573280583903e-09,6.72710354527325e-08,362.275047997112,1,1,0.70027272317168,0.0126776217979655,1.91284341405515,0,0,0
18,1506.85185335548,3.28410921461385,2,2.75284581502912,3.81384933144085,1,2737514470489112064,1.99331584095637,2,291490.170440518,2.26361404156091e-08,1.62928055701716e-09,6.22041416359704e-08,362.333583034246,1,1,0.54630541142551,0.0141219780209636,1.41827036952363,0,0,0
19,1506.68812432944,3.23716767078066,2,2.58102315107411,3.81385028479619,1,1323518085940743680,1.9933159032659,2,306878.98911782,2.26556304090285e-08,3.59218467782592e-09,6.56756784261455e-08,362.366984716198,1,1,0.78757197485625,0.0373301381153232,1.84563554262607,0,0,0
20,1502.96189392812,3.29572032469642,2,2.71549127480371,3.81384987000862,1,620252760980760320,1.9933159327806,2,317695.726534359,1.81875199414537e-08,2.82248262689936e-09,4.31991751402649e-08,362.388669914667,1,1,0.471766945354737,4.48194326705956e-05,1.39287473173719,0,0,0
21,1510.82487552174,3.29325399463576,2,2.75864210187159,3.81384985367394,1,13078640090649069568,1.99331602906374,2,330512.246076255,2.08220074689998e-08,5.90408263997934e-09,4.76616249588117e-08,362.447868168348,1,1,0.568685267875206,0.00473326129618958,1.73550882584545,0,0,0
22,1504.20610648021,3.09111660084965,2,2.49021912436796,3.81385045687471,1,15775852133076750336,1.99331611068191,2,349631.446742751,2.55347388455497e-08,6.97064683049683e-09,1.40908814811653e-07,362.46657568493,1,1,0.621702520795018,0.0382220308775168,1.48264274775748,0,0,0
23,1502.60671174599,3.177925582841,2,2.57433873185663,3.8138506407868,1,73455008522276782080,1.99331618589783,2,364821.643837102,1.65441896598925e-08,5.22971168458193e-09,5.79455632880272e-08,362.500694487615,1,1,0.467164628214035,0.0276064136725294,1.56773874455665,0,0,0
24,1502.2264149761,3.26952735188402,2,2.8207400766924,3.81384999904834,1,2.8604921445002e+19,1.99331625244615,2,379196.75575711,1.61706151895685e-08,9.1899089280776e-10,4.49635375066137e-08,362.534319749391,1,1,0.533797440283614,0.0315039314390532,1.72728434110039,0,0,0
25,1504.71941278415,3.04838318018439,2,2.6110145824001,3.81385013650119,1,224220124760434720,1.99331629698464,2,393736.083101547,1.30905653821392e-08,3.01471970635958e-09,3.54985911733965e-08,362.551798966784,1,1,0.466147076785155,0.0108638990969709,1.12563418128742,0,0,0
26,1505.5594737873,3.3798226605795,2,2.85302389826617,3.81385203877018,1,4576569068472615424,1.99331635390626,2,409624.213968714,1.3870711005864e-08,3.38340008405266e-09,3.88605263467739e-08,362.58701882021,1,1,0.40826593293288,0.0114902981428348,1.3142144902301,0,0,0
27,1502.29825376269,3.21860226959736,2,2.57333137882243,3.81385151530432,1,1197467664034715392,1.99331639774017,2,422451.24258669,1.21401215864664e-08,3.35229332376373e-09,2.6482923142582e-08,362.590004017545,1,1,0.587035039567797,0.00783277840640107,1.33320962175293,0,0,0
28,1510.02377417281,3.08331299635522,2,2.48292637773513,3.81385180372263,1,308272290085284096,1.99331645616192,2,437773.695914735,1.40245877690479e-08,2.07318889177797e-09,3.13035537436773e-08,362.600286700388,1,1,0.539389235339123,0.0314985943561003,1.8344220128805,0,0,0
29,1519.80083346795,2.99262358111968,2,2.35058954925818,3.81385158646543,1,49071147917986406400,1.99331648762536,2,450690.385040729,1.16886768110207e-08,2.76169833268374e-10,3.28782304575428e-08,362.612933852867,1,1,0.673703196613792,0.0842120968620686,1.48029495709144,0,0,0
