"epoch","mse","A1_norm","A1_rank","A1_cond","A1_det","A2_norm","A2_rank","A2_cond","A2_det","W1_norm","W1_rank","W1_cond","W1_mean_chnage","W1_min_chnage","W1_max_chnage","W2_norm","W2_rank","W2_cond","W2_mean_chnage","W2_min_chnage","W2_max_chnage","strong_sat","soft_sat","linear_region"
0,0.394686749121223,NA,NA,NA,NA,NA,NA,NA,NA,2.51162679926722,2,1.97288693240416,NA,NA,NA,1.73716995800673,1,1,NA,NA,NA,0.00495238095238095,0.0488809523809524,0.195309523809524
1,0.00344368360151494,3.21122214335544,2,2.59980352044328,3.04883867899574,3.98318416248854,9,60015181161934600,3.77654300383149e-114,2.36211032509973,2,2.11841625638575,0.010512317753092,0.00192761580596119,0.142680484201934,9.98458463858641,1,1,0.437755172125245,0.0764395268062892,1.47785566565692,0,0.0345119047619048,0.221321428571429
2,0.00270945506939525,3.29929752374351,2,2.70975815444255,3.1380888042034,3.85104519142432,8,775177644530236928,1.21149778489209e-118,2.31396772824064,2,2.16983303473241,0.00396589032805065,0.000694258741661796,0.0091075410789634,11.6573020690023,1,1,0.0820161296681356,0.0409917716778803,0.124482727547795,0,0.0301428571428571,0.23227380952381
3,0.0022774981463167,3.20878960163647,2,2.59155861918902,3.04682423312063,3.80924588190341,8,104517807403288000,5.2841242964377e-120,2.26606997104529,2,2.22427972058723,0.00406810843754688,0.00148170594344537,0.0080878639723999,12.8284216385504,1,1,0.0594060045720124,0.0348797552955949,0.0844371708294128,0,0.0250238095238095,0.241714285714286
4,0.00197215519070719,3.13471411977054,2,2.5082832662685,2.96986652322135,3.60442361933097,8,104533862964256864,7.23960910577718e-122,2.23261572894756,2,2.32463398019194,0.00409580039673211,0.000623749326986339,0.0159313525497356,14.3490772237825,1,1,0.0703149502169782,0.0501503176747335,0.0985160232346259,0,0.0210595238095238,0.249261904761905
5,0.00173702485947028,3.08254905557994,2,2.53093844326703,2.90646556583003,3.4790585091075,8,3603610860811771904,2.85446373106742e-125,2.19835962505939,2,2.39955846753741,0.0035223678775384,0.00124617256714717,0.00806462764831326,15.9898042456611,1,1,0.0756979527415797,0.0526907169751474,0.107033267539591,0,0.0180595238095238,0.257821428571429
6,0.00159125902294387,3.13700826850303,2,2.50944098649157,2.97234549703705,3.5280621944933,8,144263364240110016,-3.92454864648742e-128,2.17495331431676,2,2.48290301417354,0.00280889929478938,0.000277450125475337,0.00471498178675169,17.6308844384494,1,1,0.0735870520666552,0.0510397244946292,0.100628179008799,0,0.0156785714285714,0.265178571428571
7,0.00151816882159957,3.46441805985264,2,2.80092599563026,3.31655439763465,3.54722335054014,7,444399472009517504,3.37134351000756e-129,2.14983635502085,2,2.56290330518775,0.00274153216698003,0.00125499872766442,0.00575156284369519,19.3210026545756,1,1,0.0787850659131199,0.0531949378331777,0.102429579325026,0,0.0133452380952381,0.272702380952381
8,0.00157605603439686,3.289044846063,2,2.64809309958834,3.13244981552222,3.46643041378578,6,1584361912635615744,1.29409299385031e-131,2.13248985134504,2,2.67599699469742,0.00284061643305135,0.000451638117824343,0.00809099748895375,21.1077979260446,1,1,0.083159531780773,0.0558953223299888,0.114845128192034,0,0.012202380952381,0.278738095238095
9,0.00174533165549656,3.2524562416183,2,2.6555200351657,3.0902923067638,3.45058082883134,6,102227623411029760,3.30834076547173e-135,2.10697458633505,2,2.76028123924091,0.00257221154132027,0.000528328214011551,0.00535307204396559,23.2653581192447,1,1,0.0992789162295223,0.079540278111169,0.125507115770967,0,0.0108690476190476,0.283083333333333
10,0.00187437394289298,3.3101795997807,2,2.78925611143381,3.13690342688615,3.49385413852303,6,318971977568385984,-1.13364483768296e-136,2.09223355753999,2,2.87412023066057,0.00233198469725344,0.000583673949184052,0.004266395493379,25.3710419989391,1,1,0.0960663447185612,0.0786770771769506,0.116894056805383,0,0.00998809523809524,0.286761904761905
11,0.00236253582656693,3.2913034532719,2,2.71872549885391,3.12726399930628,3.31491314304156,6,170565887945920992,-1.6510017759698e-139,2.07785793454121,2,3.01570853516316,0.00264036521161764,0.0012390895463435,0.00749680470144282,27.5459866018725,1,1,0.103517899575813,0.0830288745348716,0.183239618541393,0,0.00901190476190476,0.291369047619048
12,0.00240055254026262,3.2153835090652,2,2.57536544259402,3.05527376874799,3.3588706054228,6,107764520876460592,-6.8183499492953e-141,2.06528494217508,2,3.07824652053272,0.00179237042211865,0.000336454072678756,0.00375591371102449,29.7452965646951,1,1,0.10313836154604,0.0861472435889872,0.127387236811258,0,0.00803571428571428,0.293940476190476
13,0.00284896644021982,3.27508950722326,2,2.67820765714649,3.1138620314874,3.29144764945256,6,589068614970189312,-1.9033980708331e-142,2.05102081273955,2,3.15472761925151,0.00182745019130667,0.000444337314246998,0.00435449152293724,31.8842872747113,1,1,0.101500636039747,0.0858305161227124,0.131387280466839,0,0.00677380952380952,0.295916666666667
14,0.00341338103726543,3.23880651718922,2,2.57244007803306,3.08055990484858,3.31333789556419,6,615543097027873024,-3.28843849798506e-144,2.03458749276082,2,3.23913835805154,0.0020280029961994,0.000289563910851425,0.00802776838175493,34.0008135424261,1,1,0.099755515611491,0.0798741525095608,0.146850866784674,0,0.00513095238095238,0.29797619047619
15,0.00377047449359026,3.30926576837342,2,2.79082940729258,3.13540231222336,3.37963753690349,6,3146134752705555456,-2.91799919094625e-146,2.02634247518428,2,3.33261481445889,0.00176184648462336,0.000505190247676917,0.00389647400660552,36.1208211611292,1,1,0.104460124937664,0.0802497303114513,0.178157682336154,0,0.00391666666666667,0.299166666666667
16,0.00452845047496374,3.05284957258927,2,2.40805125265144,2.88434734229404,3.28324632454394,6,1067144119826207360,3.32077120704145e-147,2.01438312152007,2,3.41324831418953,0.00181414599825086,0.000157632394007044,0.00965716357701547,38.1748194698141,1,1,0.0998338941036024,0.0714153094795398,0.12939707895979,0,0.00267857142857143,0.301285714285714
17,0.00520162732618445,3.0842903133183,2,2.46302984668206,2.91653722295058,3.30289533386671,6,1547766416314279168,1.1258345756289e-148,2.00738481821512,2,3.5273324166351,0.00168443213134269,0.000285474844435528,0.00872521890854957,40.1500953388228,1,1,0.0993742969696764,0.08027810306878,0.134340364443417,0,0.00151190476190476,0.303011904761905
18,0.00564975930989178,3.28410921461385,2,2.75284581502912,3.11216142351791,3.35127008725338,6,592773316048198528,2.91096895971837e-149,1.99940339327701,2,3.61701342830943,0.00159666309895548,0.000374440296812823,0.00300530863828848,42.1122206672178,1,1,0.104791137683608,0.0757232333263553,0.205030205790777,0,0.00025,0.304547619047619
19,0.006524459181295,3.23716767078066,2,2.58102315107411,3.07870510221494,3.28379913442226,6,1583623303542756608,3.51647073725712e-151,1.98855021937479,2,3.70961597477858,0.00159928978198377,0.000205526007157262,0.0050638624214261,44.0051461592912,1,1,0.0961322776633975,0.0769837393935642,0.125304184465028,0,0,0.307511904761905
20,0.00699531683521317,3.29572032469642,2,2.71549127480371,3.13303483163262,3.31885792003524,6,115579361440260016,-2.48335558606945e-151,1.98707106214107,2,3.80988158361861,0.00151075375188825,0.000228392025582667,0.0030652026682381,45.8137617711575,1,1,0.0976828964769485,0.074049121653904,0.217996144351616,0,0,0.308869047619048
21,0.00751718698836951,3.29325399463576,2,2.75864210187159,3.12232521297211,3.34121544252524,6,448806738443370816,-1.74131926461311e-152,1.98323373449289,2,3.90952799359414,0.00164877693216178,0.000424879514119974,0.00415623470298918,47.5469244334283,1,1,0.103493152303229,0.0757217650796913,0.1904188369347,0,0,0.310202380952381
22,0.00924815877633961,3.09111660084965,2,2.49021912436796,2.92205135462043,3.3109962548096,6,2168546067352660480,5.28372048897703e-156,1.97654354155815,2,4.0914586446103,0.00178676556792057,0.000318971153107026,0.0107368564103279,49.1844468630229,1,1,0.0888155848637543,0.066639026346158,0.149494423481137,0,0,0.312738095238095
23,0.00999175715572637,3.177925582841,2,2.57433873185663,3.01324584597132,3.30784062310205,6,384182839585518592,4.52973109371531e-156,1.96966547732542,2,4.21508811409508,0.00147107860171637,0.000281267810641737,0.00614779689488818,50.7384743904188,1,1,0.0884774970004337,0.062634133830658,0.138677487954884,0,0,0.314738095238095
24,0.0110615052691737,3.26952735188402,2,2.8207400766924,3.07640523902705,3.36319561714577,5,28692788004234072064,-2.98001185523228e-157,1.9630563328907,2,4.36141893690352,0.00164029776717895,0.000139613625938049,0.00646382003331585,52.1795379328844,1,1,0.085769900260261,0.0591295083402274,0.187350336235745,0,0,0.319238095238095
25,0.0121677691201993,3.04838318018439,2,2.6110145824001,2.84442612740698,3.36775334442814,5,2824752904444509696,1.59121841050398e-158,1.96101751444016,2,4.54403427942532,0.00135564662734185,0.000481716879063421,0.00241496319515938,53.4922245851222,1,1,0.0907222572030694,0.0562039266965569,0.209831969233937,0,0,0.323690476190476
26,0.0132027234554551,3.3798226605795,2,2.85302389826617,3.21015389681952,3.25081451085433,5,1983197914948592640,2.12438762509611e-160,1.9551605482908,2,4.7151957566972,0.00132752121924686,0.000246066414486263,0.00681097790754266,54.7141895047449,1,1,0.0899850262320355,0.0509898894202059,0.190030641220953,0,0,0.329083333333333
27,0.0145956760177144,3.21860226959736,2,2.57333137882243,3.05888247274549,3.29691455929441,5,789955551330542976,6.97297141158102e-162,1.95121551493904,2,4.95256460420515,0.00142295510996634,0.000281687884009785,0.00320243795432108,55.7900975633318,1,1,0.0875207075194148,0.0409815319019193,0.165979979848858,0,0,0.337714285714286
28,0.0156299291964741,3.08331299635522,2,2.48292637773513,2.9138130325086,3.29329491195925,5,373370267078451776,-2.23227558056767e-163,1.9462899976031,2,5.18700282116406,0.00138735648555404,0.000100892771336743,0.00423025334904204,56.7938498451688,1,1,0.095422637226712,0.0428954496119651,0.165388017766323,0,0,0.345083333333333
29,0.0169027870372282,2.99262358111968,2,2.35058954925818,2.82056040562477,3.31358085924763,5,2323907086518495232,1.85421190978986e-165,1.94190140544501,2,5.45162622349784,0.00131793434268695,0.00027449462516297,0.00322554821458712,57.6498705391265,1,1,0.0751984727555472,0.034754164834951,0.16240542444645,0,0,0.352666666666667
30,0.0174725556540047,3.14098988666164,2,2.50971767436489,2.97674029938699,3.31498838050353,5,1449290842474232320,4.13257974470815e-170,1.9410849117937,2,5.71778600334108,0.00130109081875216,6.81517019851762e-05,0.003313565031314,58.4031572261966,1,1,0.0675434873347036,0.031454690314878,0.140247357204644,0,0,0.359166666666667
