"epoch","mse","A1_norm","A1_rank","A1_cond","A2_norm","A2_rank","A2_cond","W1_norm","W1_rank","W1_cond","W1_mean_chnage","W1_min_chnage","W1_max_chnage","W2_norm","W2_rank","W2_cond","W2_mean_chnage","W2_min_chnage","W2_max_chnage","strong_sat","soft_sat","linear_region"
20,1843.22337958675,3.29572032469642,2,2.71549127480371,4.85916027349768,1,2144207037426801664,2.64379286668473,2,70751.0890363978,1.44993812475707e-05,1.06371087168898e-05,1.88659969214997e-05,1602.35936103535,1,1,1.03468633906401,0.807902975021468,1.64150472047348,0,0,0.0714285714285714
21,1847.50820700901,3.29325399463576,2,2.75864210187159,4.8585311388992,1,593322355459318912,2.64349513204271,2,77036.1766073444,1.62277137178394e-05,1.04210212790926e-05,2.09462248968114e-05,1623.54720992871,1,1,1.14504537393374,0.853226894816121,1.92169768313709,0,0,0.0714285714285714
22,1842.33194129323,3.09111660084965,2,2.49021912436796,4.85790957775076,1,1306377254266461440,2.64320498156689,2,79108.06691848,1.57934857196833e-05,1.05198875604132e-05,2.02473848817655e-05,1644.19481888063,1,1,1.17475002308442,0.795423528592059,1.74394164815241,0,0,0.0714285714285714
23,1839.13379134298,3.177925582841,2,2.57433873185663,4.8573496899948,1,429519528062921536,2.64294055162005,2,75290.9876241052,1.43978615230561e-05,1.01713580428253e-05,1.90991920911138e-05,1663.49049616155,1,1,0.974755171840598,0.76005521435883,1.81979560311023,0,0,0.0714285714285714
24,1842.36347182877,3.26952735188402,2,2.8207400766924,4.85677372287499,1,3559638254062019072,2.64266458833281,2,77113.7115628099,1.50185513083593e-05,1.12430864285433e-05,1.79190452537166e-05,1683.51609628043,1,1,1.07324812144899,0.80898229370956,1.7978754462723,0,0,0.0714285714285714
25,1840.0570943491,3.04838318018439,2,2.6110145824001,4.85619102401567,1,2526049798653777920,2.64238971312753,2,77284.9932948666,1.49592134383628e-05,1.05116296916424e-05,1.95651800059471e-05,1703.07313528399,1,1,1.05096156843865,0.776282013429778,1.45359420400327,0,0,0.0714285714285714
26,1839.91475326857,3.3798226605795,2,2.85302389826617,4.85560703731352,1,518767741812582976,2.6421260421108,2,78451.3686951935,1.4355733969597e-05,9.26190005939389e-06,2.02014733760007e-05,1722.24663738362,1,1,0.951451976647565,0.700973727138714,1.34143167632142,0,0,0.0714285714285714
27,1839.21020307681,3.21860226959736,2,2.57333137882243,4.85508311579295,1,2291525232127422464,2.64187486083449,2,76324.4699982896,1.36942934866792e-05,8.91847818874948e-06,1.73067157855784e-05,1740.58217356802,1,1,1.02313879051645,0.738814194279829,1.48586860810461,0,0,0.0714285714285714
28,1848.6466506345,3.08331299635522,2,2.48292637773513,4.85452860641138,1,363679500852155136,2.64161466018787,2,78696.5832495641,1.4180726313928e-05,1.05143084424715e-05,2.10896092455335e-05,1759.28316429187,1,1,0.995232323633287,0.73306579218901,2.46562671714185,0,0,0.0714285714285714
29,1856.6993885905,2.99262358111968,2,2.35058954925818,4.85398016397138,1,1589234553097283584,2.64135456374593,2,80763.634239241,1.41632700193465e-05,1.06351813718515e-05,1.91889593527005e-05,1778.0852547381,1,1,1.09979371649898,0.784984895302012,1.46027333177278,0,0,0.0714285714285714
30,1841.95084691524,3.14098988666164,2,2.50971767436489,4.8534366759357,1,6492507814409317376,2.64109901451926,2,84569.5766969172,1.39129807387196e-05,9.79481161693306e-06,1.96990134962168e-05,1796.91215894507,1,1,1.05509617691619,0.795640509140977,1.99589896504701,0,0,0.0714285714285714
31,1841.94273048052,3.28559898484954,2,2.64806267802751,4.8529064508308,1,475423844058419264,2.64084914020145,2,91053.5984748094,1.36326754735102e-05,9.97624558161266e-06,1.72960083820069e-05,1815.32971634295,1,1,1.03467138029226,0.741450898379121,1.77621050897608,0,0,0.0714285714285714
32,1842.56815780352,3.03234947951698,2,2.55486174417146,4.85244940874109,1,1356858947615540480,2.64062715040771,2,79799.9505079804,1.20857481535396e-05,9.16949507826541e-06,1.63393601953747e-05,1831.79482508492,1,1,0.827987152553389,0.651474911630963,1.25182240562192,0,0,0.0714285714285714
33,1854.47657133311,3.39760467212508,2,2.81037566653607,4.85187934344574,1,3097771682762186752,2.6403614327942,2,91304.5386471566,1.44760973772027e-05,1.0120111373787e-05,1.78860947902303e-05,1851.23594672306,1,1,1.03261707895805,0.797734516580265,1.55935828195549,0,0,0.0714285714285714
34,1843.70660612718,2.99223636053215,2,2.42190744407292,4.8513987682182,1,2018364496904768000,2.64013456454714,2,79190.5088585424,1.23436456103622e-05,9.49504165302846e-06,1.69308111168835e-05,1867.86537507193,1,1,0.975147568455632,0.718587721928533,1.84785010318597,0,0,0.0714285714285714
35,1844.24542715207,2.98428096976268,2,2.37520844021344,4.85086929101956,1,203407726864449728,2.63988628366029,2,84306.5536659993,1.35243358137335e-05,1.01899909647028e-05,1.89713030068156e-05,1886.00357329135,1,1,0.96491141407151,0.724177966803347,1.74389778857424,0,0,0.0714285714285714
