"epoch","mse","A1_norm","A1_rank","A1_cond","A1_det","A2_norm","A2_rank","A2_cond","A2_det","W1_norm","W1_rank","W1_cond","W1_mean_chnage","W1_min_chnage","W1_max_chnage","W2_norm","W2_rank","W2_cond","W2_mean_chnage","W2_min_chnage","W2_max_chnage","strong_sat","soft_sat","linear_region"
0,0.293846462514167,NA,NA,NA,NA,NA,NA,NA,NA,2.51162679926722,2,1.97288693240416,NA,NA,NA,1.73716995800673,1,1,NA,NA,NA,0.00495238095238095,0.0488809523809524,0.195309523809524
1,0.00105295556071942,3.21122214335544,2,2.59980352044328,3.04883867899574,4.09348302291074,9,20258047965009852,5.10842028072949e-112,2.40313150211069,2,2.08238883051995,0.0079618506510162,0.000441323465531605,0.115044478598031,5.64892832070684,1,1,0.25621794382854,0.0370339225832347,1.21267704077825,0.00121428571428571,0.0367380952380952,0.21402380952381
2,0.000833686281730413,3.29929752374351,2,2.70975815444255,3.1380888042034,3.9863731372805,9,51840484420488264,-1.04492749682538e-114,2.36440216665822,2,2.10451274352274,0.00359497393709744,0.000994639127478321,0.00874032290852032,6.22859205909794,1,1,0.0353393627556932,0.0178124177533031,0.0554078960071269,0,0.03475,0.220440476190476
3,0.000731198721734586,3.20878960163647,2,2.59155861918902,3.04682423312063,3.98588256458397,8,195498793304665312,-2.20785473585396e-116,2.33168142654223,2,2.13332461549807,0.0031393663567532,0.00071766980582107,0.00672710271017586,6.56324931959948,1,1,0.0250485209900346,0.0155998344415427,0.037332148426323,0,0.0318809523809524,0.227452380952381
4,0.00064191879542347,3.13471411977054,2,2.5082832662685,2.96986652322135,3.76857603560086,8,82418523479481072,1.51256291947467e-118,2.29991030329532,2,2.1840311583225,0.00357990386447296,0.00147352101632388,0.0152992385166241,7.03289278817175,1,1,0.0266622291112726,0.0142278852731579,0.0373105083733135,0,0.0287142857142857,0.234761904761905
5,0.000564976105029412,3.08254905557994,2,2.53093844326703,2.90646556583003,3.63784865198607,8,487367439244007232,-5.1679990894639e-120,2.27452559061671,2,2.26576093304302,0.00364910630356515,0.00128304784918807,0.0136246232720347,7.58473724971137,1,1,0.029939665666322,0.0116638515192148,0.0523843720745773,0,0.025702380952381,0.241392857142857
6,0.00050666343465034,3.13700826850303,2,2.50944098649157,2.97234549703705,3.71002223659805,8,44518411532189096,-7.39963745142649e-121,2.25960299069686,2,2.31433297902004,0.00246367898395701,0.000224987667168202,0.00487844469614111,8.05281102702893,1,1,0.0247267250477719,0.0128574582696096,0.0390206210679859,0,0.0235357142857143,0.245107142857143
7,0.000443830710394498,3.46441805985264,2,2.80092599563026,3.31655439763465,3.74975421163977,8,110321065709943744,-8.49382799064991e-123,2.2280654498352,2,2.34177808479966,0.0026779639778251,0.000203341938339073,0.00751449345622262,8.54949048552623,1,1,0.0260384032778887,0.0121064052887298,0.0620306773093907,0,0.0206071428571429,0.250809523809524
8,0.000398414585479761,3.289044846063,2,2.64809309958834,3.13244981552222,3.63962981700635,8,81036465988113312,-2.89910085509425e-124,2.20934408635611,2,2.37770593474057,0.00258241143167287,0.000825932829283675,0.00501389821588722,9.07269706214529,1,1,0.0279114137704541,0.0167338671917559,0.0448927688243986,0,0.0188809523809524,0.255107142857143
9,0.000380831300941666,3.2524562416183,2,2.6555200351657,3.0902923067638,3.61027453652028,7,1044746184968110208,-9.92229651748489e-127,2.18224613158152,2,2.40146031552705,0.00269462037811469,0.000138836017167904,0.00503128565922979,9.62699953258721,1,1,0.0286726983068419,0.0199390657730772,0.0533145159059309,0,0.0167619047619048,0.260380952380952
10,0.000342123545452971,3.3101795997807,2,2.78925611143381,3.13690342688615,3.66815110893173,7,218886299250121472,8.95443585374833e-128,2.16902759039645,2,2.45696599697065,0.00242999498689841,0.000404319718345429,0.00505107800876687,10.1721197176162,1,1,0.0282762809860365,0.0189371802302424,0.0556375864262577,0,0.0153452380952381,0.265035714285714
11,0.000391405187063209,3.2913034532719,2,2.71872549885391,3.12726399930628,3.4450521064655,7,739006417271221888,2.84911156764018e-129,2.15189397123216,2,2.54480611099311,0.00244235802559805,0.000551713986756064,0.00652568927811469,10.7531648839668,1,1,0.0329304656939141,0.0162952187394071,0.093420730467756,0,0.013452380952381,0.271714285714286
12,0.000312947707133021,3.2153835090652,2,2.57536544259402,3.05527376874799,3.48129073961101,6,238261196883722976,3.04440006081044e-130,2.14244103091701,2,2.59762680507769,0.00221827626263483,0.000811056437414266,0.00441160372632179,11.42214980555,1,1,0.034612286206263,0.0232419542908898,0.0655622963268959,0,0.0129285714285714,0.275083333333333
13,0.000299006930203335,3.27508950722326,2,2.67820765714649,3.1138620314874,3.40331219806568,6,343294815972906304,2.77315992163556e-131,2.12999773087134,2,2.63069542334683,0.00182935402913341,0.000621465454430953,0.00338892108586335,12.0030171521552,1,1,0.0313822976408839,0.0172901605678871,0.0517269066648164,0,0.012202380952381,0.27775
14,0.000312208984810234,3.23880651718922,2,2.57244007803306,3.08055990484858,3.42417211845866,6,2017238613632812800,1.32112160147285e-134,2.11535572708239,2,2.68842118077234,0.00271254674858609,0.000703266135264109,0.0107909007918642,12.6477842101935,1,1,0.0335583941721615,0.0233624547167334,0.0522884714062787,0,0.0114166666666667,0.28102380952381
15,0.00029928379210736,3.30926576837342,2,2.79082940729258,3.13540231222336,3.49515979625982,6,105234350223964080,-1.3277434323849e-134,2.10350365444467,2,2.75161041568001,0.00191261345145952,0.000182590127945893,0.00433898845755129,13.3393380846074,1,1,0.0356880865712863,0.0235548123387015,0.0505875776580996,0,0.0107738095238095,0.283202380952381
