"epoch","mse","A1_norm","A1_rank","A1_cond","A1_det","A2_norm","A2_rank","A2_cond","A2_det","W1_norm","W1_rank","W1_cond","W1_mean_chnage","W1_min_chnage","W1_max_chnage","W2_norm","W2_rank","W2_cond","W2_mean_chnage","W2_min_chnage","W2_max_chnage","strong_sat","soft_sat","linear_region"
0,0.216468740449074,NA,NA,NA,NA,NA,NA,NA,NA,2.51162679926722,2,1.97288693240416,NA,NA,NA,1.73716995800673,1,1,NA,NA,NA,0.00495238095238095,0.0488809523809524,0.195309523809524
1,0.000270240178148482,3.21122214335544,2,2.59980352044328,3.04883867899574,4.19386230932976,9,135842714091318400,2.18116155173388e-111,2.47211622775077,2,2.26834560297965,0.00947674387818931,0.000243347683393954,0.16427751111093,2.93540070001311,1,1,0.0976633410192163,0.0416490448080091,0.798775075444541,0.0029047619047619,0.0397619047619048,0.211154761904762
2,0.000155375364950786,3.29929752374351,2,2.70975815444255,3.1380888042034,4.1288196623579,9,143917462237753536,-1.00649917632409e-113,2.45516208875736,2,2.30290969307375,0.00313279152924326,0.000583824533026111,0.00713029440606346,3.60104108306276,1,1,0.0340820279569554,0.0246844055176332,0.0441160689164986,0.00238095238095238,0.0388571428571429,0.215452380952381
3,0.000112755754968698,3.20878960163647,2,2.59155861918902,3.04682423312063,4.19471880752476,9,126464409134495952,1.49064517874509e-113,2.43991150038391,2,2.34924673727496,0.00304719076894266,0.000499574102486225,0.0115833899360772,4.06919528372569,1,1,0.0241413931814887,0.0196421909977135,0.0303865287963313,0.00164285714285714,0.0382619047619048,0.219892857142857
4,9.46711866320146e-05,3.13471411977054,2,2.5082832662685,2.96986652322135,3.97901607925757,9,1307043208071297792,-1.71209520352637e-115,2.42147716895505,2,2.39402905602711,0.00324831608069454,0.000460598653515031,0.0105938448396552,4.4491491300795,1,1,0.0197555849670889,0.0161738377194737,0.0254820619590601,0.000738095238095238,0.0376547619047619,0.224738095238095
5,7.9000902936862e-05,3.08254905557994,2,2.53093844326703,2.90646556583003,3.86693817750773,8,591291212442325504,-3.14828772233021e-117,2.40686915450935,2,2.45144567331196,0.0032266202211493,0.000595668357682363,0.0145764570766902,4.75532217349207,1,1,0.0162875384741972,0.0123306493191868,0.0240841615799506,0,0.0369285714285714,0.229904761904762
6,8.06948000894119e-05,3.13700826850303,2,2.50944098649157,2.97234549703705,3.95739431591757,8,120392078384817760,8.93653877934961e-118,2.39261072144844,2,2.48793608136903,0.0026656592053915,0.000195052009540768,0.00564708329612754,5.02677806030677,1,1,0.0162874700091188,0.0106324379440149,0.0456757412575011,0,0.0355952380952381,0.233714285714286
7,6.10605203720866e-05,3.46441805985264,2,2.80092599563026,3.31655439763465,4.05223779928918,8,133692185377403040,-4.81396419030074e-118,2.37173518789135,2,2.50414582373298,0.00208987151330143,0.000268025089804855,0.00480430121781543,5.26128688358518,1,1,0.0140827365692128,0.00939502668618504,0.0247699757927034,0,0.0335595238095238,0.237488095238095
8,5.52191517879503e-05,3.289044846063,2,2.64809309958834,3.13244981552222,3.93473128917106,8,182338047066786496,-3.32035826549661e-119,2.3638164806407,2,2.56626651123251,0.00302482385299558,0.000578438161049863,0.00889164852310923,5.46785950943941,1,1,0.0135904561126798,0.00923210578396794,0.0192777579321413,0,0.0324761904761905,0.241
9,5.36859434879526e-05,3.2524562416183,2,2.6555200351657,3.0902923067638,3.93527466249436,8,436096522105930368,1.40546149131043e-120,2.34395066512115,2,2.59190743833202,0.00272108621119241,0.000984291129267068,0.00537251494917579,5.67194749956563,1,1,0.0130355284668868,0.00757258905875069,0.022026172911717,0,0.0303809523809524,0.244595238095238
