"epoch","mse","A1_norm","A1_rank","A1_cond","A2_norm","A2_rank","A2_cond","W1_norm","W1_rank","W1_cond","W1_mean_chnage","W1_min_chnage","W1_max_chnage","W2_norm","W2_rank","W2_cond","W2_mean_chnage","W2_min_chnage","W2_max_chnage","strong_sat","soft_sat","linear_region"
0,410.764607483826,NA,NA,NA,NA,NA,NA,2.51162679926722,2,1.97288693240416,NA,NA,NA,1.73716995800673,1,1,NA,NA,NA,0.00841666666666667,0.0358214285714286,0.106440476190476
1,11.6986886651029,3.21122214335544,2,2.59980352044328,5.73072605906088,10,1279038213317109,2.79874129251523,2,1.31694823134589,0.062709510987349,0.00263316801504687,0.758571831482304,87.8246252003358,1,1,4.56972654120795,1.04099766359357,41.6059704178646,0.0330833333333333,0.0836309523809524,0.0797380952380952
2,9.20927735351081,3.29929752374351,2,2.70975815444255,5.73989919654186,10,1737962879131649,2.80235950408138,2,1.34359944032332,0.0297879170445327,0.00520900732422646,0.0660415525368137,100.65302839097,1,1,0.785107213488948,0.457932000029387,1.32227458879235,0.0330595238095238,0.0833690476190476,0.0801666666666667
3,7.33856887621376,3.20878960163647,2,2.59155861918902,5.7635358113012,10,1024630894511713,2.80099262731061,2,1.36184148990131,0.0196112691718424,0.00141285382528112,0.0576028758729166,109.844695339901,1,1,0.5666384038382,0.405701880169435,0.873007228268771,0.032797619047619,0.0828333333333333,0.0808333333333333
4,4.73472945207375,3.13471411977054,2,2.5082832662685,5.60048092931128,10,1700179353225404,2.8151860889474,2,1.42341003594566,0.0249185498941466,0.00440738638821158,0.0626056371648981,116.521793124673,1,1,0.580167736166931,0.10849760765151,1.41482198187055,0.0336428571428571,0.0837619047619048,0.0804761904761905
5,2.58387008066802,3.08254905557994,2,2.53093844326703,5.29174831828611,10,1046257466240729,2.77543475540911,2,1.46601833989083,0.014567469108523,0.0024320510504228,0.0453155688829496,129.138952826051,1,1,0.677688781690919,0.359168403762721,1.05386441521282,0.02925,0.0777261904761905,0.0830714285714286
6,1.59692882383781,3.13700826850303,2,2.50944098649157,5.18999047128916,9,989763310985835,2.72569876684948,2,1.40338971013232,0.0119278567912958,0.00140923301891578,0.0336365766877637,144.235384361547,1,1,0.810187815866893,0.472264020815074,1.29775945885541,0.0250119047619048,0.0727738095238095,0.0850714285714286
7,0.707267375177675,3.46441805985264,2,2.80092599563026,5.35209849343775,9,1014179799635457,2.69378577562812,2,1.46704722319017,0.00954262613171147,0.000885865573040824,0.0212537705909255,158.617319122639,1,1,0.716608841559142,0.496143719446095,0.939883536826097,0.0208333333333333,0.0681190476190476,0.0872738095238095
8,0.461751808691754,3.289044846063,2,2.64809309958834,5.06209987495241,9,1422476151010809,2.65783187389762,2,1.51030135243544,0.00646526968126126,0.000115014484650252,0.0150456167317582,173.245495164591,1,1,0.708020817342143,0.376425229056289,0.962703005834382,0.0166666666666667,0.0629761904761905,0.0895238095238095
9,0.305190137566788,3.2524562416183,2,2.6555200351657,4.99379492656532,9,1434520792236609,2.64318667685065,2,1.57463045854563,0.00447893950850087,0.000445531454078184,0.014349898850589,188.624998960016,1,1,0.740762152541984,0.508154768629133,1.17994443931239,0.0160119047619048,0.0600357142857143,0.0909880952380952
