"epoch","mse","A1_norm","A1_rank","A1_cond","A1_det","A2_norm","A2_rank","A2_cond","A2_det","W1_norm","W1_rank","W1_cond","W1_mean_chnage","W1_min_chnage","W1_max_chnage","W2_norm","W2_rank","W2_cond","W2_mean_chnage","W2_min_chnage","W2_max_chnage","strong_sat","soft_sat","linear_region"
13,1.49256698044439e-05,3.27508950722326,2,2.67820765714649,3.1138620314874,3.82753113717384,8,223580045445216448,-6.9905799830826e-124,2.37842194261273,2,2.9385142343242,0.00230412979774137,0.000280698257772448,0.00707393948221454,3.44954303772419,1,1,0.00982360731988097,0.00449126083755802,0.0220727072316758,0,0.0308333333333333,0.253869047619048
14,1.6422616856513e-05,3.23880651718922,2,2.57244007803306,3.08055990484858,3.89260580664655,8,314390047645012672,-1.84383177692709e-124,2.37544814111158,2,2.99436332823186,0.00268616915841549,0.000282348787359327,0.0150918020457574,3.50097735589011,1,1,0.00813347826372711,0.00285300730101126,0.027640368876183,0,0.029797619047619,0.256416666666667
15,1.3728018100662e-05,3.30926576837342,2,2.79082940729258,3.13540231222336,4.02281362692222,8,80260055339411472,5.09332095811169e-125,2.37440216689448,2,3.05697395333809,0.00232097667307574,0.000635774735349875,0.0098161642764864,3.56795605440748,1,1,0.00839732770538786,0.00209671115626116,0.0190163936994536,0,0.0291071428571429,0.258238095238095
16,1.03527380081082e-05,3.05284957258927,2,2.40805125265144,2.88434734229404,3.78747312475233,8,211602399982631072,2.53360662764025e-126,2.35489192269941,2,3.05021119285985,0.00199697032770431,0.000478949586328555,0.00936245763546883,3.62372947879896,1,1,0.00712122863199234,0.00253259759141288,0.0140051666341746,0,0.0268214285714286,0.260452380952381
17,1.10471383085742e-05,3.0842903133183,2,2.46302984668206,2.91653722295058,3.80776711526136,8,51069473785370400,-4.68420383206767e-128,2.34297047376167,2,3.13314084741165,0.00256747660971409,0.000748568939694509,0.0107885059756878,3.687827732698,1,1,0.00813790010990352,0.00251329735224372,0.0173500691272117,0,0.0245833333333333,0.264392857142857
18,9.35893460739484e-06,3.28410921461385,2,2.75284581502912,3.11216142351791,3.94241807239088,7,78151663690285104,-2.11698061727146e-128,2.3325964433576,2,3.16409555867149,0.00195761190710081,0.000379858163765856,0.00408527114931691,3.74482113215364,1,1,0.00816063047896951,0.00255655056453992,0.0162237375914513,0,0.0236785714285714,0.266738095238095
19,1.12135419568291e-05,3.23716767078066,2,2.58102315107411,3.07870510221494,3.79244757097131,7,285948426073325120,-6.9342247583547e-130,2.32582245523124,2,3.19627925220806,0.00199584430303182,0.000333385869292859,0.00553362342108126,3.79898917269095,1,1,0.00940364095273704,0.00306237219942358,0.0189661012573072,0,0.0228571428571429,0.268119047619048
20,9.07887979993834e-06,3.29572032469642,2,2.71549127480371,3.13303483163262,3.83873759833293,7,1009154175231623424,1.05698786539972e-131,2.31882644516304,2,3.21086957633878,0.00199870277388964,0.000388528398137558,0.00652797025138644,3.85447941871223,1,1,0.00759871148692219,0.00207199151120007,0.0174787383261446,0,0.0222738095238095,0.269011904761905
21,1.0296126749439e-05,3.29325399463576,2,2.75864210187159,3.12232521297211,3.88608392821387,7,135748058036899296,1.91117559521807e-130,2.30984968006159,2,3.23629171967263,0.00221384955252581,0.000754636734752454,0.00789419673452599,3.9017108280186,1,1,0.00872962872684623,0.00200332467185736,0.0244431543247084,0,0.0213333333333333,0.270809523809524
22,1.77979370317752e-05,3.09111660084965,2,2.49021912436796,2.92205135462043,3.78216789816472,7,1275601978305150208,3.93145873521356e-132,2.30542601637309,2,3.34292813440098,0.00252643039398912,0.000488520454244942,0.0161394650239834,3.9689896454216,1,1,0.0101948462214166,0.00234637338603305,0.0758819220894021,0,0.0201547619047619,0.273833333333333
23,2.10710431957457e-05,3.177925582841,2,2.57433873185663,3.01324584597132,3.75903536933605,7,221683865384873088,-3.29367106495604e-132,2.29666844559246,2,3.37262131472383,0.00165823592694487,7.57105480782442e-05,0.0068190112705822,4.00340328327215,1,1,0.00811161816877531,0.00225311309653331,0.0199584821036512,0,0.0193928571428571,0.276333333333333
24,2.81181392260684e-05,3.26952735188402,2,2.8207400766924,3.07640523902705,3.90814151916523,7,765825475412248704,1.6867080276976e-133,2.28932743922438,2,3.42699610636424,0.00233198724861135,0.000174505353611635,0.0170339937186878,4.04967695065248,1,1,0.0102316665833523,0.00229654764994063,0.031910299643435,0,0.0183214285714286,0.278404761904762
25,2.14504269191718e-05,3.04838318018439,2,2.6110145824001,2.84442612740698,3.86943580972266,7,658235974781103360,2.76174412994517e-136,2.28437628515883,2,3.46787825290947,0.00186937564106684,0.000834595423938222,0.00439189652850812,4.09746561239521,1,1,0.0119696828095043,0.00228122717373122,0.0332765992463166,0,0.0174285714285714,0.27997619047619
